,Page,Members,Message,Date,Interactions
0,The New York Times,"17,252,652 Page Likes","Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. ""The anti-vaxxers have been practicing for this,"" writes Kevin Roose. ""And I’m worried that they will be unusually effective.""","May 13, 2020",3944
1,We Love GMOs and Vaccines,"231,038 Page Likes",We’ve been warning about this for 6 years...,"May 13, 2020",239
2,Kristian Claus,"11,649 Page Likes",Anti-vaxxers have gotten so effective at pushing misinformation that scientists are now concerned when a Covid-19 vaccine does come out many will simply refuse to take it.,"May 13, 2020",29
3,Center for Inquiry,"56,885 Page Likes",,"May 13, 2020",21
4,Michiganders Against Trump,"2,332 Page Likes",,"May 13, 2020",10
5,Tech Insider Authority,549 Page Likes,"Get Ready for a Vaccine Information War Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. Technology","May 13, 2020",0
6,Coronavirus Info Northeast Ten...,837 Members,,"May 13, 2020",0
