,Page,Members,Message,Date,Interactions,hrefs
19,Matteo Cesari,"3,110 Followers","As scientists work to create a vaccine against #COVID19, the opposition to #vaccines in social media is small but far-reaching & growing. The #antivaxx movement can undermine efforts to end #COVID19Pandemic Need to be clear: #VaccinesWork! @nature https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",7,https://twitter.com/macesari/status/1261765245007265800
20,Lula Falcão,"11,511 Followers","Enquanto os cientistas trabalham para criar uma vacina contra o COVID-19, um pequeno mas fervoroso movimento anti-vacinação inventa que as vacinas serão usadas para implantar microchips nas pessoas. Parece coisa de Damares https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",7,https://twitter.com/lulafalcao/status/1260743917596704769
21,Critical Reading,"14,727 Followers","""Groups opposing vaccines are small in size, but their online-communications strategy is worryingly effective and far-reaching."" https://www.nature.com/articles/d41586-020-01423-4 #CoronavirusPandemic #antivaxxers","May 16, 2020",6,https://twitter.com/CriticalReading/status/1261552258283642881
22,Big Sigh,"15,006 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",6,https://twitter.com/e1ais/status/1260992853775462400
23,"Julio Rodríguez, PhD","3,248 Followers","En este estudio ""los científicos advierten que el movimiento #antivacunas podría afectar negativamente al proceso de poner fin a la pandemia de #coronavirus"" https://www.nature.com/articles/d41586-020-01423-4 https://t.co/91LGgENHyT","May 13, 2020",6,https://twitter.com/bitacorabeagle/status/1260651134181453824
24,Roy Eacups,"3,623 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. Studies of social networks show that opposition to vaccines is small but far-reaching — and growing. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",6,https://twitter.com/RoyEacups/status/1260648937750360064
25,Napoleón Cornejo,"7,544 Followers",Necesitamos mas educación cívica y científica; la falta de ambas destruye a las sociedades. https://www.nature.com/articles/d41586-020-01423-4,"May 17, 2020",5,https://twitter.com/napocornejo/status/1262060016288268291
26,Szymek Drobniak,350 Followers,Surprising effectiveness of anti-scientific content vs merit-based communication in vaccination/anti-vaccers war. Relevance to post-COVID-19 era. @EuroScitizen interesting of the case also for evolution? https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",5,https://twitter.com/szymekD/status/1261007921284034563
27,Philip Ball,"12,009 Followers","While fake news is in the air (is it never not), here's what's brewing on the pushback against a Covid-19 vaccine. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",5,https://twitter.com/philipcball/status/1260975452652519430
28,Tony R. Walker,"1,253 Followers","The lady on the (far) right with the yellow sign should be careful what she wishes for. Mr. Gates will not need to lift a finger. The coronavirus will be able do it, easily. https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",4,https://twitter.com/tonyrwalker1/status/1261243943162753024
