,Page,Members,Message,Date,Interactions
0,Kevin Roose,"87,995 Followers","Wrote about a morbid thought I've been having lately, watching the spread of anti-vaxx propaganda like Plandemic. What if we develop a successful Covid-19 vaccine and a huge chunk of the population just...refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",2975
1,André Picard,"107,371 Followers","Get Ready for a Vaccine Information War: Social media is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists, by @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share via @nytimes #antivax #vaccination","May 13, 2020",298
2,León Krauze,"1,450,702 Followers",Los criminales anti-vacunas ya comenzaron su esfuerzo de desinformación contra una vacuna para el Covid...vacuna que aún no existe!!!! Es increíble. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes,"May 13, 2020",240
3,Taylor Lorenz,"140,727 Followers",Absolutely essential reading from @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",79
4,Peter Grinspoon MD -- idealist...,"17,409 Followers","What if we get a Covid-19 vaccine and half the country refuses to take it? Can we ban them from schools, hospitals, stores, libraries, streets, etc? Can they have their own planet to die on? #medtwitter https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",71
5,Matt Haig,"406,788 Followers",Scary. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",65
6,Davey Alba,"16,718 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" @kevinroose with essential reading on the all but inevitable vaccine information wars https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",64
7,ᴏɢᴀ ᴍᴇɴᴅᴏɴᴄᴀ,"9,721 Followers",Matériazinha pra gente perder a fé na humanidade. Se é que vc ainda tem alguma... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",62
8,Oliver Darcy,"121,774 Followers","""This war could pit public health officials and politicians against an anti-vaccination movement that floods social media with misinformation, conspiracy theories and propaganda aimed at convincing people that the vaccine is a menace..."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",56
9,Mark Little,"80,346 Followers","“We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",39
10,Antonio N Leite,"11,976 Followers","Sobre o perigo de uma parte importante da população americana (e europeia) se recusar a tomar uma vacina contra o Covid 19, se e quando houver uma. Não é farfetched, infelizmente https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",33
11,Sheryl Gay Stolberg,"29,543 Followers",What if we get a Covid-19 vaccine and half the country refuses to take it? @kevinroose on how the anti-vaxxers are gearing up. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",30
12,Jesse Lehrich,"49,623 Followers",really smart piece from @kevinroose on preparing for the high-stakes information war that will be waged against an eventual coronavirus vaccine: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",28
13,Mario Aguilar,"5,561 Followers","Yes, it’s already possible to have nightmares about 2021. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html https://t.co/ptYlRrYS2O","May 13, 2020",25
14,Taylor Lorenz,"140,727 Followers","""The researchers found that anti-vaccine FB pages treated vaccine resistance as a kind of political campaign, and used different messages to reach different types of undecided 'voters.'"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",24
15,NYT Business,"798,442 Followers",What if we get a Covid-19 vaccine and half the country refuses to take it? https://nyti.ms/3fOhR96,"May 13, 2020",23
16,𝐏𝐚𝐨𝐥𝐚 𝐂𝐮𝐛𝐢𝐥𝐥𝐨𝐬 𝐌...,"6,327 Followers","“To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",21
17,Liz Szabo,"66,212 Followers","Anti-vax evangelism at work. ""Researchers found that Facebook pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",20
18,Jay Van Bavel,"23,161 Followers","What if the anti-vaccination movement floods social media with misinformation, conspiracy theories and propaganda aimed at convincing people that the vaccine is a menace rather than a lifesaving, economy-rescuing miracle? This is a very real concern. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",19
19,Elaine Reddy,"8,054 Followers",This is a huge concern of mine living in Boulder. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",18
20,CdnPaediatricSociety,"8,032 Followers","""Those of us who believe in vaccines need to realize that we may not be in the majority for long and do everything we can to reach the people in our lives who might be susceptible to anti-vaccine propaganda."" #VaccinesWork https://nyti.ms/3fKbHXz","May 13, 2020",16
21,Arthur Caplan,"11,864 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",16
