,Page,Members,Message,Date,Interactions
0,Nature News and Comment,"454,097 Page Likes",Studies of social networks show that opposition to vaccines is small but far-reaching — and growing.,"May 13, 2020",357
1,Příznivci Českého klubu skepti...,"10,819 Members",Zajímavé zprávy z Nature [https://www.nature.com/articles/d41586-020-01423-4?utm_source=fbk_nnc&utm_medium=social&utm_campaign=naturenews&fbclid=IwAR0xDbnVd68bcHeO7w6ILHZC2VEqHDpjPhEDahHSyQN6Q1FXm0DYkvmgIfA](https://www.nature.com/articles/d41586-020-01423-4?utm_source=fbk_nnc&utm_medium=social&utm_campaign=naturenews&fbclid=IwAR0xDbnVd68bcHeO7w6ILHZC2VEqHDpjPhEDahHSyQN6Q1FXm0DYkvmgIfA),"May 13, 2020",7
