,Page,Members,Message,Date,Interactions
0,Richard Dawkins,"667,741 Page Likes","Freedom to know nothing, understand nothing, form your own unsubstantiated opinion and massively harm the society around you.","May 14, 2020",2519
1,Nature News and Comment,"454,097 Page Likes",Studies of social networks show that opposition to vaccines is small but far-reaching — and growing.,"May 13, 2020",634
2,GRUPO PARA EXPLICAR COM TRANQU...,"74,065 Members","**Movimento anti-vacina pode prejudicar os esforços para acabar com a pandemia de coronavírus**, alertam pesquisadores **Estudos de redes sociais mostram que a oposição às vacinas é pequena, mas abrangente - e crescente**.","May 13, 2020",311
3,Mr.C,"189,678 Page Likes",Very alarming article about a SARS-CoV-2 vaccine. https://www.nature.com/articles/d41586-020-01423-4:=:https://www.nature.com/articles/d41586-020-01423-4?error=cookies_not_supported&code=3c0f966c-e882-4c99-ab7c-ed19d08454f9,"May 14, 2020",226
4,*Divulgação Científica e Popul...,"23,487 Members","A gente já não sabe o quê é pior: se o virus do qual ignoramos muito, ou a ignorância, que se espalha como um virus ","May 13, 2020",38
5,COVID19: Real Talk from Health...,"111,619 Members",https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",26
6,Vaksineaksjonen - Viktig og ri...,"1,474 Members","Det er interessant at der antivaksine-propaganda ikke møter mye motstand er det færre ""på gjerdet"", og flere vaksinemotstandere. Det er derfor mange ""anti""-grupper blokkerer alle som stiller spørsmål eller tilbakeviser tullete påstander - Antivaksinepåstander står seg ikke ved nærmere undersøkelse. [https://www.nature.com/articles/d41586-020-01423-4?](https://www.nature.com/articles/d41586-020-01423-4?utm_source=fbk_nnc&utm_medium=social&utm_campaign=naturenews&error=cookies_not_supported&code=14f16ba1-31ce-461c-8382-a5e58872e101&fbclid=IwAR0DdngUdFCst4NypvFALBuk4jaahiwBCHCYLBlxDe_9BTkU4mzFoI78mzQ)","May 13, 2020",14
7,Latest science and technology ...,"172,969 Page Likes","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn Studies of social networks show that opposition to vaccines is small but far-reaching — and growing.","May 13, 2020",13
8,One Health Approaches,"5,258 Members","Time for pro-vaccine groups to engage with public in innovative ways to fight anti-vaxxers and the viruses. ""Groups opposing vaccines are small in size, but their online-communications strategy is worryingly effective and far-reaching."" ""Pro-vaccine groups have a simple message — vaccines work and save lives. Anti-vaccine narratives are numerous: from sowing worries about children’s health to advocating alternative medicines and linking immunizations to conspiracy theories. And the anti-vaccination messages are spread across many more Facebook clusters than are those from the larger pro-vaccine groups."" ","May 13, 2020",12
9,Příznivci Českého klubu skepti...,"10,819 Members",Zajímavé zprávy z Nature [https://www.nature.com/articles/d41586-020-01423-4?utm_source=fbk_nnc&utm_medium=social&utm_campaign=naturenews&fbclid=IwAR0xDbnVd68bcHeO7w6ILHZC2VEqHDpjPhEDahHSyQN6Q1FXm0DYkvmgIfA](https://www.nature.com/articles/d41586-020-01423-4?utm_source=fbk_nnc&utm_medium=social&utm_campaign=naturenews&fbclid=IwAR0xDbnVd68bcHeO7w6ILHZC2VEqHDpjPhEDahHSyQN6Q1FXm0DYkvmgIfA),"May 13, 2020",10
10,Pseudoștiința în România; scep...,"10,461 Members",,"May 13, 2020",8
11,Anti Fake Ticino,560 Page Likes,I novax sono pericolosi e vanno fermati,"May 14, 2020",2
12,Atheist Society,"4,284 Members",Richard is on fire today,"May 14, 2020",0
13,"COVID-19

Seychelles","10,348 Members",As if enough people haven't died because of this arrogant nonsense already.,"May 14, 2020",0
14,Christopher Hitchens Appreciat...,"33,963 Members",,"May 14, 2020",0
15,Public Health Ethics,"1,944 Members",https://www.nature.com/articles/d41586-020-01423-4,"May 13, 2020",0
