,Page,Members,Message,Date,Interactions
0,News from Science,"2,436,465 Page Likes",If only we could inoculate ourselves against misinformation on social media. . . .,"May 13, 2020",1263
1,AAAS - The American Associatio...,"221,728 Page Likes",If only we could inoculate ourselves against misinformation on social media. . . .,"May 13, 2020",576
2,Anonymous Canada,"31,140 Page Likes",,"May 13, 2020",21
3,Mark Lynas,"3,260 Page Likes","According to the latest analysis, anti-vaccination campaigners are winning the information war right here on Facebook. While pro-vaccine voices are ""stuck in an echo chamber"", the antis are out there recruiting millions of new believers by spreading fear and misinformation about COVID-19. Watch out. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",20
4,The Cult Education Institute,"3,282 Page Likes","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",15
5,National Health Federation,"8,326 Page Likes",,"May 13, 2020",11
6,קהילת מדעת,"14,290 Members","לא מפתיע, אבל בכל זאת...","May 13, 2020",9
7,Chemtrails Global Skywatch,"181,083 Members",,"May 13, 2020",5
8,New World Order Exposed,"9,151 Members",,"May 13, 2020",2
9,I Just Thought You Should Know,179 Page Likes,https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook,"May 13, 2020",0
