,Page,Members,Message,Date,Interactions
0,久住英二（くすみえいじ）,"26,631 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 反ワクチン運動が、新コロ流行を終息させようとする努力を台無しにする。 日本は反ワクチン運動のメッカ。HPVワクチン接種がこんなに止まっている先進国はない。","May 14, 2020",67
1,Yonatan Lupu,"1,310 Followers","I am fortunate to be part of a GW-based research team studying online extremism and other fringe groups. Today, Nature published our study of the vaccination discussion on Facebook. Here’s the coverage at Nature News, and below a link to the study. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",59
2,Philip Ball,"11,948 Followers","The topography of the antivax landscape, and why it's worrying. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",49
3,Federico Kukso,"30,566 Followers","El movimiento antivacunas podría socavar los esfuerzos para poner fin a la pandemia de coronavirus, advierten investigadores https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",29
4,Karl Urban,"2,231 Followers",Warum Impfgegner derzeit Auftrieb haben: Sie verhalten sich auf Facebook ganz anders als Impfbefürworter und haben so einen großen Vorteil. Mein Beitrag heute bei @Dlf_Forschung https://ondemand-mp3.dradio.de/file/dradio/2020/05/14/soziale_netzwerke_impfgegner_werden_erfolgreicher_dlf_20200514_0952_d73fb5a5.mp3 (mp3) Die dazugehörige Studie gibts hier: https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",11
5,John Charpentier,707 Followers,"Language matters. It's not a ""movement"", it's a political cult. They aren't ""anti-vaccine activists"", they're science deniers. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",9
6,うさぎ林檎＠ししょー,"2,800 Followers",食品安全情報blog2「論文：反ワクチン運動はコロナウイルスパンデミックを終わらせようとする努力を台無しにする可能性がある、研究者が警告」https://uneyama.hatenablog.com/entry/2020/05/14/180351 ”https://www.nature.com/articles/d41586-020-01423-4 ソーシャルネットワークの研究がワクチン反対者は小さいが広く届いて増殖していることを示す”⇒,"May 14, 2020",8
7,Lula Falcão,"11,433 Followers","Enquanto os cientistas trabalham para criar uma vacina contra o COVID-19, um pequeno mas fervoroso movimento anti-vacinação inventa que as vacinas serão usadas para implantar microchips nas pessoas. Parece coisa de Damares https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",7
8,"Julio Rodríguez, PhD","3,241 Followers","En este estudio ""los científicos advierten que el movimiento #antivacunas podría afectar negativamente al proceso de poner fin a la pandemia de #coronavirus"" https://www.nature.com/articles/d41586-020-01423-4 https://t.co/91LGgENHyT","May 13, 2020",6
9,Roy Eacups,"3,566 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. Studies of social networks show that opposition to vaccines is small but far-reaching — and growing. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",6
10,Lars-Johan Larsson,"1,424 Followers",https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",4
11,Nsikan Akpan,"7,497 Followers","""As scientists work to create a vaccine against COVID-19, a small but fervent anti-vaccination movement is marshalling against it."" https://www.nature.com/articles/d41586-020-01423-4 by @philipcball","May 14, 2020",2
12,EAGLEWOMAN,"2,007 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",2
13,mvugt,"2,245 Followers","Scary stuff: Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",2
14,山形方人(nihonGO),"11,086 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",2
15,武神,458 Followers,Anti-Vaccine Movement Could Prolong Coronavirus Pandemic ・UKで死亡例 ・マイクロチップ埋め込みを恐れる →ワクチン自粛警察活動中！ ただし、早めに打たないと効かなくなっていく可能性あり ・驚いたこと 日本でワクチンなんて単語を見ない マイクロチップありそう https://www.nature.com/articles/d41586-020-01423-4,"May 13, 2020",2
16,💥🚀ZippyMediaAnalytics🚀💥,725 Followers,"Researchers found that FB pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign https://www.nature.com/articles/s41586-020-2281-1?referringSource=articleShare https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",2
17,Gal,"2,865 Followers","Anti-vax is a form of eugenics, especially for the impoverished. Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
18,Ag-West Bio,"2,352 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 #science #vaccines #SciComm #COVID19","May 14, 2020",1
19,Ilaria Carlomagno,85 Followers,"On #vaccines, #antivaxxers, and #communication: anti-#vaccine campaigners win converts with personalized, emotive messages not only on fear (“Vaccines will kill you”), but on appeals to the heart (“Do you love your children?”): https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
20,I. Gonzalez-Cabrera,183 Followers,"The basic reproductive number of SARS-CoV-2 seems in the range of 2-6. Assuming an estimate of 3, the herd immunity threshold for the virus would be approximately 67%. An anti-vaccination movement could undermine efforts to establish herd immunity. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
21,Oden,"7,015 Followers","Anti-vaccine movement could undermine efforts to end #coronavirus #pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
22,Roger Highfield,"17,646 Followers","There's a huge effort under way to develop a #COVID19 vaccine: https://www.sciencemuseumgroup.org.uk/blog/ending-the-pandemic/ But the unhinged anti-vaccine movement could undermine these efforts to end the #coronavirus pandemic, reports @philipcball https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
23,Kristof Decoster,"4,166 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
24,Jogonoli,516 Followers,"Anti-Vaccine Movement Could Prolong Coronavirus Pandemic, Researchers Warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
25,.,348 Followers,https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",1
26,高等ムーミン,698 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1
27,Chinmay Hemant Joshi,320 Followers,"Anti-vax morons often say my body my choice. Well, if you want your children to actually exert that choice in their future (or actually have a future), you must vaccinate them. Somethings, cannot and should not be made as choice, but as mandatory. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
28,Red Interdisciplinaria de Epig...,649 Followers,"Y luego que por que reaparecen #enfermedades? #Antivacunas #Vacunas Anti-vaccine movement could prolong coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
29,Nidhi Subbaraman,"7,776 Followers","The antivaxx movement could prolong the coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
30,Josée Appelman,791 Followers,"Groups opposing vaccines are small in size, but their online-communications strategy is worryingly effective and far-reaching, a report from Johnson’s team suggests. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
31,Research Buzz BioMed,28 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn: https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
32,Analytical chemistry 2020,250 Followers,"#AnalyticalChemistry updates https://analyticalchemistry.science.blog Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
33,Joel Grant,44 Followers,"@gorskon Interesting article in 'Nature' about the anti-vaxers and their messaging success relative to their numbers, which are small: https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
34,Faolan 🇨🇦,"12,860 Followers",https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
35,pedro.martinez.puig,"1,770 Followers","Groups opposing #vaccines are small in size, but their online-communications strategy is worryingly effective and far-reaching: they could undermine efforts to end #COVID19 pandemic. Please help actively to educate your community with facts and emotions https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
36,Max Jedroom,190 Followers,Ran into one of these Groups recently. Takeaway: All of us who follow #science need to do a better job of communicating. #antivaxxer #COVID19US https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
37,Daddy Knows,3 Followers,"#antivax movement could undermine efforts to end #coronavirus #pandemic researchers warn ""If there’s already fewer #Covid_19 infections by then, it’s going to be a hard sell, says Larson."" No vaccine no work, no school! My policy would proclaim. https://www.nature.com/articles/d41586-020-01423-4 https://t.co/9TJj0iIjQz","May 14, 2020",0
38,Covidix Coro,19 Followers,#vaccins une cartographie de quelque 100 millions de comptes @Facebook met en évidence la montée en puissance du mouvement antivax https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
39,Glauber Cabral,136 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
40,Hima,6 Followers,https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
41,Sarah Everts,"2,036 Followers",Antivax movement & Covid-19 “An extrapolation of current trends using computer simulations suggests that anti-vaccination views might dominate the network within ten years.” https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
42,VaccineUK,"1,284 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
43,Ros Rev,404 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
44,Science: Disrupt,"3,958 Followers","Groups opposing vaccines are small in size, but their online-communications strategy is worryingly effective and far-reaching https://www.nature.com/articles/d41586-020-01423-4 @philipcball","May 14, 2020",0
45,AudaxLateralis,4 Followers,"Ignorance is leathal. Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
46,Pilum Murialis,"1,700 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
47,Sabine K.,210 Followers,https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
48,makale takip,27 Followers,"3-Aşı karşıtları mesajlarını korkutma ile değil (“aşılar sizi öldürür”), kalbe dokunan bir şekilde veriyor (“çocuklarınızı seviyor musunuz?”) https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
49,AaMaldives,"6,988 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn #coronavirus #CoronaCrisis #CoronaAlert https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
50,Dr. Stuart Fischer,"20,852 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
51,Gail Addis,"1,760 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 Don’t go to any dodgy ‘picnics in the park’ this weekend. #Covid19UK","May 14, 2020",0
52,David Whittle,"2,226 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn: https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
53,Kazu. Ogata,"1,579 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn 反ワクチン運動はコロナウイルスのパンデミックを終わらせることに悪影響を及ぼす可能性 https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
54,Amy Panikowski,299 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
