,Page,Members,Message,Date,Interactions
55,radio rock,8 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
56,"One Health, India",421 Followers,"@nature reports that ""as scientists work to create a #vaccine against #COVID19 a small but fervent anti-vaccination movement is marshalling against it."" https://www.nature.com/articles/d41586-020-01423-4 #VaccinesWork #covid19vaccine","May 14, 2020",0
57,Dr. Amit Acharya,252 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
58,張君玫/Island,582 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
59,Samuel Mbagwu,"13,382 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
60,rai,182 Followers,num dá pra respeitar uma galera dessa https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
61,Marbel Torres,397 Followers,https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
62,Eduardo Castro,885 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. #COVID19 https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
63,Canadian Association For Biolo...,179 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",0
64,The G5 Advantage Group LLC,21 Followers,"Anti-Vaccine Movement Could Prolong Coronavirus Pandemic, Researchers Warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
65,Takashi Nakamura,213 Followers,"もう反ワクチン馬鹿が動めいている。- Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
66,Harbinger Entity,"1,544 Followers",https://www.nature.com/articles/d41586-020-01423-4,"May 13, 2020",0
67,Kim Harding,"3,597 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 Studies of social networks show that opposition to vaccines is small but far-reaching — and growing","May 13, 2020",0
68,peter,"6,375 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
69,ぜのぱす,315 Followers,"【Sigh... Just so idiot....】 Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
70,mirage prism apocalypse tank,783 Followers,"💡 ""Anti-vaccine movement could prolong coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
71,Christopher Overton,7 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
72,MIRR,135 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
73,T. Ni,431 Followers,"こういう人たち、まだ息してるんだね。アメリカだと強制のワクチンが多いから、なんか不安なのはわかるけどさ。→ Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
74,Felipe,29 Followers,"Anti-vacunas, metiendo la pata, la pierna y la cabeza desde siempre. Y seguro que lo volverán a hacer con #COVID19. #vacunacoronavirus ""Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
75,a_1_0_2,185 Followers,"""Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
76,Function_1st,188 Followers,"Anti-vaccine movement could prolong coronavirus pandemic, researchers warn: https://www.nature.com/articles/d41586-020-01423-4 Here come the Dumbericans! Studies of social networks show that opposition to vaccines is small but far-reaching & growing. Well don't vaccinate them. Let them risk it with COVID.","May 13, 2020",0
77,Rachana Deven Somaiya,112 Followers,"OMG... Seriously?! Anti-vaccine movement could prolong coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
