,Page,Members,Message,Date,Interactions
26,Critica,436 Page Likes,"Another very frightening article warning us that there is a well-organized anti-vaccination movement already campaigning against the hoped-for anti-COVID-19 vaccination. Polls show that right now about 70% of Americans would have the vaccine when it becomes available, but we have deep concerns that anti-vaxxers will make that number go down. We are working hard to address this problem and hope you will join us--follow our progress here and at www.criticascience.org.:=:https://www.criticascience.org/","May 14, 2020",12
27,The Allied Forces,891 Members,Read this. Thanks Joohn. #TheAlliedForces,"May 13, 2020",11
28,Cascadians co-creating Healthy...,"1,011 Members","please, let's get past the imposed false dualities into nuance, context and responsible behavior New York Times: **Get Ready for a Vaccine Information War** Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. ","May 14, 2020",11
29,Voices Against Trump,"1,253 Members",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",8
30,Dr. Anthony Fauci Fan Club,"114,797 Members",,"May 13, 2020",8
31,"Leathernecks,  Conservatives A...",957 Members,The New York Times pro vaccines shocking,"May 14, 2020",8
32,California Immunization Coalit...,757 Page Likes,"To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents. We need to do it quickly, with all the creativity and urgency of the scientists who are developing the vaccine itself. Millions of lives and trillions of dollars in economic activity may depend not just on producing a vaccine, but on persuading people to accept it.","May 13, 2020",7
33,The Liberal Page,"12,454 Page Likes",,"May 13, 2020",7
34,HackTheVirus.org,"1,075 Members",,"May 14, 2020",7
35,Current Status,"1,524 Members",Get Ready for a Vaccine Information War,"May 13, 2020",6
36,Secular Student Alliance,"40,982 Page Likes","Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. “The anti-vaxxers have been practicing for this,” writes Kevin Roose.","May 14, 2020",6
37,Idiot Free Zone,"3,111 Members",,"May 14, 2020",6
38,Voto Latino,"258,037 Page Likes",Please please please talk to your friends sharing that fake pandemic documentary. We can all combat disinformation together!,"May 14, 2020",6
39,Malcolm Nance Fans,"10,196 Members",,"May 13, 2020",5
40,COVID19 : The Big Reboot,324 Members,,"May 14, 2020",5
41,Η ΑΛΗΘΕΙΑ ΓΙΑ ΤΑ ΕΜΒΟΛΙΑ,"9,175 Members",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=fb-share,"May 13, 2020",4
42,BJ Leiderman,"6,737 Page Likes",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?referringSource=articleShare,"May 13, 2020",3
43,Critical Coronavirus News and ...,341 Members,,"May 13, 2020",3
44,BLOOMBERG FOR PURPOSE,"51,530 Members",,"May 14, 2020",3
45,Truth And Freedom T&T,"3,613 Members",[https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html](https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html),"May 14, 2020",2
46,Dr. Anthony Fauci Fan Club,"115,761 Members",,"May 14, 2020",2
