,Page,Members,Message,Date,Interactions
23,Taylor Lorenz,"141,025 Followers","""The researchers found that anti-vaccine FB pages treated vaccine resistance as a kind of political campaign, and used different messages to reach different types of undecided 'voters.'"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",26
24,Dr. Junaid,"8,254 Followers",Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fKbHXz,"May 14, 2020",25
25,CdnPaediatricSociety,"8,043 Followers","""Those of us who believe in vaccines need to realize that we may not be in the majority for long and do everything we can to reach the people in our lives who might be susceptible to anti-vaccine propaganda."" #VaccinesWork https://nyti.ms/3fKbHXz","May 13, 2020",25
26,Jay Van Bavel,"23,180 Followers","What if the anti-vaccination movement floods social media with misinformation, conspiracy theories and propaganda aimed at convincing people that the vaccine is a menace rather than a lifesaving, economy-rescuing miracle? This is a very real concern. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",25
27,NYT Business,"798,564 Followers",What if we get a Covid-19 vaccine and half the country refuses to take it? https://nyti.ms/3fOhR96,"May 13, 2020",24
28,𝐏𝐚𝐨𝐥𝐚 𝐂𝐮𝐛𝐢𝐥𝐥𝐨𝐬 𝐌...,"6,338 Followers","“To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",22
29,Liz Szabo,"66,231 Followers","Anti-vax evangelism at work. ""Researchers found that Facebook pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",21
30,Day Machado,998 Followers,O texto do NYT resume as minhas principais angústias como pesquisadora em relação a uma vacina contra a Covid-19: - A urgência por uma vacina pode causar pressão pra que etapas de pesquisa importantes sejam eliminadas. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",20
31,Elaine Reddy,"8,055 Followers",This is a huge concern of mine living in Boulder. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",20
32,"EJ ""stay TF home if you can"" W...","12,060 Followers","Local man discovers antivaccine people know how to organize themselves, manipulate social media, realizes that could affect public health https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",18
33,Ronaldo Bressane,"14,750 Followers","Vem aí a Revolta da Vacina 5.0, valei-me São Nicolau Sevcenko! ""When the time comes to persuade people to take a coronavirus vaccine, our public health officials and social media companies will be outgunned by a well-oiled anti-vaccine movement"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 14, 2020",17
34,Doc Josiah Boone (Klarname) 🚲...,"1,970 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fKbHXz","May 13, 2020",17
35,Arthur Caplan,"11,870 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",17
36,Taylor Lorenz,"141,025 Followers","""A page promoting holistic health remedies might start seeding doubts about vaccines among liberal yoga moms, while a page promoting resistance to government-mandated vaccines might appeal to conservatives and libertarians."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",16
37,Mašan Stanković,"1,275 Followers",Vrlo vazan clanak koji analizira anti-vaxx sektu i njihovu strategiju kao i kakav uticaj ona moze imati u buducnosti Get Ready for a Covid-19 Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",15
38,Brooke Borel,"9,693 Followers","Counterpoint: the loudest voices are amplified by social media and often don't accurately represent the distribution of IRL views. Yes, we should pay attention to all of this, but the framing here, yeesh: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",15
39,PrivacyDigest,"10,698 Followers","Get Ready for a Vaccine Information War Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",15
40,Dr. Adnan Khan (#StayHomeSaveL...,"50,302 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",14
41,Dr. Alison Bateman-House,"3,675 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",14
42,Joshua Safran,"12,202 Followers",Scariest article read this week by far. Retweeting this for anyone who is anti-vax that might follow me. Though I hope that number is low. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",14
43,Dr Annette Regan (McClave),304 Followers,antivaccine attitudes in combination with the ongoing misinformation epidemic could impact uptake of a SARS-CoV-2 vaccine https://nyti.ms/3fKbHXz,"May 13, 2020",13
44,Randi Weingarten,"102,954 Followers","Social media is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",12
45,🦅 Sher' 🦅 🆘,"33,815 Followers",Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",12
46,Alex,"8,309 Followers",A good piece in the NYT on the information campaign anti-vaxxers are waging but the steps proposed to counteract it are insufficient. https://nyti.ms/3fKbHXz,"May 14, 2020",11
47,Alan C. Miller,"2,852 Followers","@KevinRoose raises a critical concern: ""What if we get a #COVID19 vaccine and half the country refuses to take it? ... All the misinformation we've seen so far ... may be just the warm-up act for a much bigger information war"" when there is a vaccine. https://nyti.ms/2T71LxT","May 14, 2020",11
48,NYT Business,"798,564 Followers",What if we get a Covid-19 vaccine and half the country refuses to take it? https://nyti.ms/2WRdotT,"May 14, 2020",11
49,Nic #VetsResist🇺🇸🏳️‍🌈 #Ima...,"16,174 Followers",What if we had a vaccine & misinformation (& anti-vaxers) caused 1/2 the US to refuse to take it Get Ready for a Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",11
50,Gary Andover,"11,207 Followers",In the fifties the polio vaccine was universally welcomed & celebrated. 65 years later we are so ignorant that half the population thinks vaccines are dangerous & don't work. So effing stupid. Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",10
51,Nurses Who Vaccinate,"5,992 Followers","""To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents. We need to do it quickly, with all the creativity and urgency."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 14, 2020",10
52,Julia Bayer,"4,585 Followers",💡Tip: The anti-vaxxers have been practicing for this. @kevinroose explains how and why it could actually work. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",10
53,Health Department Punjab,"28,851 Followers",A glance at World Media (National & International) https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html https://www.theguardian.com/world/2020/may/13/are-children-less-susceptible-to-coronavirus https://www.telegraph.co.uk/news/2020/05/13/sunlight-fresh-air-can-protect-against-coronavirus-sage-adviser/ https://epaper.dawn.com/DetailNews.php?StoryText=13_05_2020_007_002 https://epaper.dawn.com/DetailNews.php?StoryText=13_05_2020_001_001 https://www.thenews.com.pk/print/658017-who-sees-potentially-positive-data-in-treating-coronavirus https://e.jang.com.pk/05-13-2020/lahore/pic.asp?picname=02_20.png https://t.co/pPbtPDgyp3,"May 13, 2020",10
54,🇨🇱🐕 Selfieton... UPETSCl 🇨...,"12,674 Followers","@jenizaro11 Prepárese para una guerra de información erróneas sobre vacunas contra la Pandemia de Convid-19 Las redes sociales-RRSS, ya se están llenando de información errónea sobre una vacuna Covid-19, meses o años antes de que exista. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/LwGAiBweX5","May 13, 2020",10
55,Ben Kline,"11,619 Followers","Honestly, I still can't fathom the end game of anti-vaxxers. What is their actual goal or hoped for outcome? Mass population reduction? Needless suffering? Blissing on ignorance? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",10
56,Center for Inquiry,"55,508 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",9
