,Page,Members,Message,Date,Interactions
10,Arthur Caplan,"11,870 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",13
11,Nalan,"4,589 Followers",Here is a map showing the battle of the vaccine supporters and opponents https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook#,"May 14, 2020",13
12,Hafeez Noorani 🇨🇦,"7,371 Followers","This should say ""Most of society is full of fucking morons now, new map shows"" Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",12
13,Antibiotic Steward🆔 Bassam Gh...,"16,706 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows If current trends continue, antivaccine views will dominate online discussion in 10 yrs a time when a future vaccine against #COVID19 may be critical to public health https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",8
14,Romain Espinosa,420 Followers,"Inquiétante progression des discours anti-vaccins : ""Antivaccine pages have fewer followers than pro-vaccine pages but are more numerous, faster growing, and increasingly more connected to undecided pages, [...]"" https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows https://t.co/dnbLISTdU9","May 14, 2020",7
15,Martin Enserink,"10,557 Followers","Interesting study with disturbing outcome: ""If current trends continue, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health."" https://bit.ly/3bCv7ux","May 14, 2020",7
16,Anthony Ricciardi,"2,904 Followers",https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",7
17,George Dawson,"4,430 Followers",How antivaxxer/antiscience misinformation is spread: https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 13, 2020",7
18,VaccinesToday,"14,671 Followers","Note, this is based on data from before the pandemic https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",5
19,David Kingsley,406 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",4
20,A Malji,"1,238 Followers",As someone unfortunately still on Facebook I can confirm how much I have seen this change in the past 5 years. It’s really disturbing. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook,"May 13, 2020",4
21,"Orgnet, LLC","3,121 Followers","Antivaccine pages have fewer followers than pro-vaccine pages but are more numerous, faster growing, and increasingly more connected to undecided pages, the study finds. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",3
22,Claude Forthomme,"5,163 Followers","WORRISOME! Especially considering that vaccines are likely to be the only thing that will save us from #COVID19 in the long run! Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",3
23,John Antonakis,"3,972 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",3
24,MediaMonarchy.com,"10,159 Followers","#HolyHexes: Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://ift.tt/2T1bxRQ via #CultNewsNetwork","May 14, 2020",3
25,Dr. Jeffery Hayden,438 Followers,Posted by @CoyneoftheRealm on FB. Interesting and FRUSTRATING. @psychunseen @AllenFrancesMD @gorskon @HislopMD @PeterHotez https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows#,"May 14, 2020",3
26,Prakash Das,773 Followers,Growing #antivaxxers Analysis of >1300 #Facebook pages w 100M followers produced network #map alarming #health professionals. Antivaccine pges hv fewer followers than pro-vaccine pages but r more numerous/fast growing/more connected to undecided pages. https://tinyurl.com/y7a859eb,"May 14, 2020",3
27,Catia Nicodemo,714 Followers,"How misinformation spreads! Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",3
28,𝔐𝔞𝔯𝔠-𝔄𝔫𝔡𝔯é 𝔄𝔯𝔤𝔢𝔫�...,"2,932 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows#","May 14, 2020",2
29,Barbara Levesque,"1,876 Followers","We’re all doomed. Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",2
30,David Cochrane,"40,700 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",2
31,Michael Greenberg MD,"1,559 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",2
32,Andrew R King 🇪🇺🇬🇧🇫🇷🔶😷...,"4,373 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows This doesn't bode well for if and when a COVID-19 vaccine becomes available ☹️ https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",2
33,Sabino Bastidas,"7,899 Followers","Agenda Global de Riesgos Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",2
34,xolotl Ⓥ,879 Followers,"#Vaccine opponents (#truth) gaining in Facebook 'battle for hearts and minds,' new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",2
35,Dr Stuart Farrimond,"1,061 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows #worrying ⁦@ScienceMagazine⁩ https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",2
36,Ivan Buchanan-Januskevic🧢🌹🛸...,"2,028 Followers",https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook,"May 13, 2020",2
37,Data Ethics PH,188 Followers,"If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
38,FAC is BOTH HOPEFUL/SKEPTICAL ...,"2,356 Followers","""Antivaccine pages have fewer followers than pro-vaccine pages but are more numerous, faster growing, and increasingly more connected to undecided pages, the study finds"" https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
39,Herton Escobar,"3,671 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
40,Claudio A. Pereira,191 Followers,"!!! Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
41,"Kathleen Hefferon, PhD","2,021 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
42,francoisbusquet,946 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
43,Mandy Van Deven,"3,286 Followers","@JTPspeaks @ReFrameMentor Perhaps this will be useful for the next Rona Report? What I find hopeful is that this is a conversation happening among scientists, which means that an understanding of how communications and technology are influencing culture/behavior is expanding. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
44,The Vox of PoCS,510 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
45,scicomm_jc,"5,111 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",1
46,Mai Figueras,"1,509 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",1
47,SynBioBeta,"21,815 Followers","If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health https://bit.ly/2Anqnf7 @meredithwadman","May 13, 2020",1
48,TeselaGen Biotech,"10,264 Followers","If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health. https://buff.ly/2T2MIoH @meredithwadman","May 13, 2020",1
49,David Grimm,"2,954 Followers",A first-of-its-kind analysis of more than 1300 Facebook pages with nearly 100 million followers has produced a network map that’s alarming public health professionals https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 13, 2020",1
50,BenoitSoulié,125 Followers,La modélisation est passionnante :https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows Il vaut mieux plein de petites pages locales facebook que de grandes pages nationales pour agréger des lecteurs...,"May 14, 2020",0
51,Alfredo Diaz,54 Followers,"Ojo una mentira contada un millón de veces NO se hace verdad Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
52,うさぎ林檎＠ししょー,"2,800 Followers",食品安全情報blog2「論文： フェイスブックの「心理戦」でワクチン反対者が伸びている、新しいマップが示す」https://uneyama.hatenablog.com/entry/2020/05/14/180351 ”https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows 1億人以上のフォローワーをもつ1300以上のフェイスブックのページの解析で公衆衛生専門家にとって”⇒,"May 14, 2020",0
53,christinegallag,86 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
54,Jeff Johnson,"1,891 Followers","""If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health."" https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
55,Lynn,"6,197 Followers","Concerned for the healthcare workers who will b seeing their children Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
56,OF,648 Followers,"#14May #58DeCuarentena @Neoadolfo @DLaraF, acerca del programa de ayer: Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
57,Marcos Silva,664 Followers,Damn plague. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",0
58,Covidix Coro,19 Followers,#vaccins une cartographie de quelque 100 millions de comptes @Facebook met en évidence la montée en puissance du mouvement antivax https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0
59,Paul Brent,"1,068 Followers","Those who oppose #vaccines doing better job of winning “hearts and minds,” on #Facebook https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
60,Warren Gilchrist,922 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
61,Rafael Alves Batista,310 Followers,This is very worrisome. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",0
62,"Sunil K. Sahai, MD","1,480 Followers","This is so depressing. Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
63,Radboudumc wetenschap,286 Followers,"If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years..... Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
64,"Fernando Bula, MD (Stay at hom...",536 Followers,One more terrifying piece of information to be concerned about @mhrathore @AmerAcadPeds @SFAIC1 #VaccinesWork https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",0
65,Elaine Burston,147 Followers,This is concerning: 'Antivaccine Facebook pages are more central and numerous than pro-vaccine pages' https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",0
66,Mary Beth Woodin,471 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows via @meredithwadman https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows#","May 14, 2020",0
67,Andrea Mariuzzo,"4,023 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
68,J Loustau,47 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
69,Lindsay Diamond ⚡️💉,"1,175 Followers","Interesting study (and critiques) - Facebook network map of anti-vaccine pages and spread of misinfo AV pages have < followers than pro-vaccine pages but are more numerous, faster growing, & increasingly more connected to undecided pages. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
70,Ricardo Franco,167 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
71,HACHE,319 Followers,"Hay días que una lectura rutinaria te alegra del día tras confiirmarte una vez más que The Priest,( they call him), Mr William Burroughs predijo y sí Language is a virus from outer space: https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook","May 14, 2020",0
72,AlexanderJamesPhillips staying...,293 Followers,Another example of our broken information ecology and the deadly fake news it amplifies https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",0
73,Seduisant Taz-Mbodi,145 Followers,"Personally, I'm pro vaccine. Fully. Cuz science works bitches* Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
74,Lymphomation.org,"3,067 Followers","Arguably the disinformation epidemic is the greatest underlying threat to our present and future health and welfare. For tobacco and the climate crisis, deep pocket special interest groups were behind it. For Trump it was the Russians... https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
75,Howard Waddell,"3,917 Followers","And the earth is flat... Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
76,Philippe Devaux,64 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
77,Gate 15,"1,837 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
78,Plant Bot,97 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows #science","May 14, 2020",0
79,Brian Reynolds,"1,204 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
80,heather mclaughlin,769 Followers,1st of-its-kind analysis of more than 1300 FB pages w/~100M followers has produced a network map that’s alarming public HCPs. #VaccinesWork #Vaccines https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",0
81,veena almad,242 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
82,Pablo Santos Sanz,"1,010 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
83,Javier Flores,"6,971 Followers","Amigos divulgadores científicos, parece que no estamos haciendo algo bien cuando los antivacunas ganan la batalla en Facebook según esta nueva investigación: https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows #periodismo #divulgación #ciencia #antivacunas","May 14, 2020",0
84,James Stribling,253 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
85,Mr. Barlow,586 Followers,"Humans think they are intelligent, they are wrong ... Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
86,JocelynMackenzieRoss,414 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
87,Open America Now,192 Followers,"Apparently COVID-19 will still be plaguing us in 10 years. “The researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health.” https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows#","May 14, 2020",0
88,EUSciComm,"30,594 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://bit.ly/2WwCnDL sciencemagazine #science #news","May 14, 2020",0
89,Gohsuke Takama,"3,149 Followers","( ¯−¯ )ﾌｰﾑ Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS - https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
90,Stephanie,181 Followers,https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",0
91,Michal Simek,269 Followers,If only we could inoculate ourselves against misinformation on social media... https://fcld.ly/vcs7nyp,"May 14, 2020",0
92,Lewis Perdue,"1,634 Followers","This is not a good sign. In a Darwinian sense, this does not code for survival. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_source=newsfromscience%3Dflipboard%3Dflipboard2460258#","May 14, 2020",0
93,Simon Delagrave,"1,004 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",0
94,Douglas Schuler,691 Followers,"And speaking of social responsibility in computing... ""Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows"" https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows Is #CivicIntelligence even possible?? Is there (enough) intelligence on earth?","May 13, 2020",0
95,.,175 Followers,"Pro-vaccine pages “seem to be in an echo chamber and their preaching doesn’t seem to go any further than the choir,” whereas anti-vaxxers form smaller groups & discuss on a variety of issues that addresses concerns. Alarming! https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
96,Sharon Fastlicht,"5,417 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
97,Catia Nicodemo,714 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
98,Catia Nicodemo,714 Followers,"How misinformation spreads! Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
99,Marc,"3,008 Followers","#Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
100,Dr Nitika Sharma,246 Followers,"""Antivaccination Facebook pages are more central and numerous than pro-vaccine pages, and more connected to undecided pages."" https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook#","May 13, 2020",0
101,Steven Ashley,"1,429 Followers","How synced-up anti-vaxxer orgs and sites weasel their bogus BS onto 'undecided' sites while pro-science orgs and sites mount relatively ineffective outreach efforts, visualized... (Sci) https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
102,Iasis Molecular Sciences (IMS),409 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
