,Page,Members,Message,Date,Interactions
0,News from Science,"274,898 Followers",If only we could inoculate ourselves against misinformation on social media. . . . https://fcld.ly/kng4lfk #vaccines,"May 13, 2020",55
1,Frank Luntz,"276,258 Followers",Facebook page membership • Pro-vaccine pages: 6.9 million • Anti-vaxx pages: 4.2 million https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 14, 2020",54
2,Vaccine Safety Net,"1,500 Followers","""Antivaccine pages have fewer followers than pro-vaccine pages but are more numerous, faster growing, and increasingly more connected..” 👉READ MORE: https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows #VaccinesWork https://t.co/dDwbotWuB8","May 14, 2020",44
3,J M S,"1,672 Followers","”Antivaccine Facebook pages have fewer followers than pro-vaccine pages but are more numerous, faster growing & increasingly more connected to undecided pages. If the current trends continue, antivaccine views will dominate online discussion in 10 years” https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",41
4,Mark Lynas,"24,728 Followers","Are the anti-vaxxers winning the COVID disinformation war on Facebook? The latest analyses look very worrying indeed. Pro-vaccine pages ""are in an echo chamber"" while the antis gain new followers all the time. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",37
5,AAAS,"119,983 Followers",If only we could inoculate ourselves against misinformation on social media. . . . https://fcld.ly/kng4lfk #vaccines,"May 13, 2020",26
6,Val Giddings,"4,721 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",25
7,Sebastian Dieguez,"1,612 Followers","Attention, la connerie gagne du terrain! https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 14, 2020",24
8,Heidi Larson,"2,069 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",17
9,Meredith Wadman,"2,041 Followers","""Antivaccine pages...are more numerous, faster growing, and increasingly more connected to undecided pages."" My @ScienceInsider report on a new @nature paper from Neil Johnson @GWtweets https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",17
