,Page,Members,Message,Date,Interactions,hrefs
79,CEVAXIN,750 Followers,"Get Ready for a #Vaccine Information War Social media is already filling up with misinformation about a #COVIDー19 vaccine, months or years before one even exists. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",9,https://twitter.com/CEVAXIN_PTY/status/1261007580735954947
80,"Shawnté “Wear a Mask” James, M...","5,258 Followers",#Tweetiatricians STAY ready so we ain’t gotta GET ready. 💪🏾 “Get Ready for a Vaccine Information War”: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/mVOG7MXkuq https://t.co/iPdMcl3o54,"May 14, 2020",9,https://twitter.com/ShawnteJamesMD/status/1260922943527432196
81,Pascal Poty,"2,533 Followers",Vous avez aimé la «Saison 1 » coronavirus et #5G vous allez adorer la saison 2 avec le vaccin... ou lorsque les ignorants sont au pouvoir « Get Ready for a Vaccine Information War » https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",9,https://twitter.com/Mobisphere/status/1260820917548208128
82,🇨🇱🐕 Selfieton. UPETSCl 🇨🇱...,"12,681 Followers","@jenizaro11 Prepárese para una guerra de información erróneas sobre vacunas contra la Pandemia de Convid-19 Las redes sociales-RRSS, ya se están llenando de información errónea sobre una vacuna Covid-19, meses o años antes de que exista. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/LwGAiBweX5","May 13, 2020",9,https://twitter.com/Selfieton/status/1260638034581749760
83,Center for Inquiry,"55,563 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",9,https://twitter.com/center4inquiry/status/1260617758682775552
84,Pócimas de Salud 😷#PonteMasca...,"3,788 Followers","""Para recuperarnos de esta pandemia, necesitamos movilizar un movimiento pro-vacuna que sea tan devoto, tan conocedor de Internet y tan convincente como lo es el movimiento anti-vacuna para sus seguidores"" #VaccinesWork https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/PaC0TnNJbR","May 14, 2020",8,https://twitter.com/AngelesRzvz/status/1260983307531141122
85,Ed ☯️,"10,604 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",8,https://twitter.com/DowdEdward/status/1260918343545925633
86,David P Gelles,"18,926 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",8,https://twitter.com/gelles/status/1260868085650731009
87,Corbin Lambeth,829 Followers,"NYTimes headline reads, ""What if we get a Covid-19 vaccine and half the country refuses to take it?"" This is what moronic #antivaxxers & denying reality / #science brings us. 🤦 https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",8,https://twitter.com/corbinlambeth/status/1260680937316081664
88,[ MarkSabino ],"3,845 Followers",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes,"May 13, 2020",8,https://twitter.com/marksnotnice/status/1260671600774520838
