,links
0,https://www.nature.com/articles/d41586-020-01423-4
1,https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html
2,https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows
