,Page,Members,Message,Date,Interactions
0,Yonatan Lupu,"1,308 Followers","I am fortunate to be part of a GW-based research team studying online extremism and other fringe groups. Today, Nature published our study of the vaccination discussion on Facebook. Here’s the coverage at Nature News, and below a link to the study. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",47
1,Philip Ball,"11,942 Followers","The topography of the antivax landscape, and why it's worrying. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",37
2,Federico Kukso,"30,537 Followers","El movimiento antivacunas podría socavar los esfuerzos para poner fin a la pandemia de coronavirus, advierten investigadores https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",29
3,Roy Eacups,"3,559 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. Studies of social networks show that opposition to vaccines is small but far-reaching — and growing. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",4
4,"Julio Rodríguez, PhD","3,241 Followers","En este estudio ""los científicos advierten que el movimiento #antivacunas podría afectar negativamente al proceso de poner fin a la pandemia de #coronavirus"" https://www.nature.com/articles/d41586-020-01423-4 https://t.co/91LGgENHyT","May 13, 2020",3
5,武神,429 Followers,Anti-Vaccine Movement Could Prolong Coronavirus Pandemic ・UKで死亡例 ・マイクロチップ埋め込みを恐れる →ワクチン自粛警察活動中！ ただし、早めに打たないと効かなくなっていく可能性あり ・驚いたこと 日本でワクチンなんて単語を見ない マイクロチップありそう https://www.nature.com/articles/d41586-020-01423-4,"May 13, 2020",2
6,💥🚀ZippyMediaAnalytics🚀💥,725 Followers,"Researchers found that FB pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign https://www.nature.com/articles/s41586-020-2281-1?referringSource=articleShare https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
7,Red Interdisciplinaria de Epig...,649 Followers,"Y luego que por que reaparecen #enfermedades? #Antivacunas #Vacunas Anti-vaccine movement could prolong coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
8,Nidhi Subbaraman,"7,775 Followers","The antivaxx movement could prolong the coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
9,山形方人(nihonGO),"11,083 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
10,The G5 Advantage Group LLC,21 Followers,"Anti-Vaccine Movement Could Prolong Coronavirus Pandemic, Researchers Warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
11,Takashi Nakamura,213 Followers,"もう反ワクチン馬鹿が動めいている。- Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
12,Harbinger Entity,"1,547 Followers",https://www.nature.com/articles/d41586-020-01423-4,"May 13, 2020",0
13,Kim Harding,"3,593 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 Studies of social networks show that opposition to vaccines is small but far-reaching — and growing","May 13, 2020",0
14,peter,"6,375 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
15,ぜのぱす,315 Followers,"【Sigh... Just so idiot....】 Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
16,Chinmay Hemant Joshi,320 Followers,"Anti-vax morons often say my body my choice. Well, if you want your children to actually exert that choice in their future (or actually have a future), you must vaccinate them. Somethings, cannot and should not be made as choice, but as mandatory. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
17,mirage prism apocalypse tank,781 Followers,"💡 ""Anti-vaccine movement could prolong coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
18,Christopher Overton,7 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
19,MIRR,135 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
20,T. Ni,431 Followers,"こういう人たち、まだ息してるんだね。アメリカだと強制のワクチンが多いから、なんか不安なのはわかるけどさ。→ Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
21,Felipe,29 Followers,"Anti-vacunas, metiendo la pata, la pierna y la cabeza desde siempre. Y seguro que lo volverán a hacer con #COVID19. #vacunacoronavirus ""Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
22,a_1_0_2,184 Followers,"""Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
23,Function_1st,188 Followers,"Anti-vaccine movement could prolong coronavirus pandemic, researchers warn: https://www.nature.com/articles/d41586-020-01423-4 Here come the Dumbericans! Studies of social networks show that opposition to vaccines is small but far-reaching & growing. Well don't vaccinate them. Let them risk it with COVID.","May 13, 2020",0
24,Rachana Deven Somaiya,112 Followers,"OMG... Seriously?! Anti-vaccine movement could prolong coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
